epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6443,3.30836,5.37389,2.36877,0.0008,0.07648,0.00074,0.00025,2.01641,3.09294,1.54534,0.0001818,0.0001818,0.0001818
2,18.1131,2.59569,4.9418,1.91987,0.00269,0.14095,0.01368,0.0076,1.77573,3.25105,1.35827,0.00037146,0.00037146,0.00037146
3,24.0428,2.3888,4.61905,1.80342,0.00278,0.14176,0.00303,0.00116,1.71953,4.16543,1.33185,0.00055986,0.00055986,0.00055986
4,31.6132,2.31921,4.43451,1.76899,0.00139,0.12916,0.00947,0.0032,1.77443,5.57799,1.39853,0.000747001,0.000747001,0.000747001
5,37.4171,2.25019,4.18123,1.74066,0.94529,0.01553,0.05285,0.01707,1.7492,5.85499,1.37159,0.000897001,0.000897001,0.000897001
6,45.0161,2.16895,4.08398,1.69228,0.58138,0.07831,0.06947,0.03009,1.68837,8.25826,1.36393,0.000894001,0.000894001,0.000894001
7,50.9356,2.21212,3.80783,1.72751,0.29728,0.17348,0.09393,0.0416,1.80111,8.67035,1.4484,0.000891002,0.000891002,0.000891002
8,58.511,2.1146,3.64313,1.66851,0.31467,0.15949,0.06951,0.03757,1.75981,12.8725,1.42899,0.000888002,0.000888002,0.000888002
9,64.3553,2.16009,3.75938,1.70423,0.33518,0.12916,0.07533,0.03767,1.67183,13.7491,1.37051,0.000885002,0.000885002,0.000885002
10,71.7651,2.10476,3.50877,1.66426,0.33519,0.17989,0.08804,0.04553,1.70803,13.0897,1.41231,0.000882003,0.000882003,0.000882003
11,77.475,2.10019,3.45355,1.66325,0.30343,0.21802,0.07768,0.04129,1.6715,11.3663,1.39781,0.000879003,0.000879003,0.000879003
12,85.1912,2.07531,3.31223,1.63923,0.35871,0.25509,0.13733,0.07146,1.63711,10.9871,1.35023,0.000876003,0.000876003,0.000876003
13,91.0661,2.02286,3.3556,1.62771,0.41591,0.26068,0.17292,0.0973,1.61877,10.7435,1.33945,0.000873004,0.000873004,0.000873004
14,98.5202,1.91824,3.24857,1.61414,0.42247,0.17275,0.14876,0.08677,1.56038,18.2499,1.27585,0.000870004,0.000870004,0.000870004
15,104.328,2.00615,3.10863,1.59289,0.41625,0.25004,0.16584,0.0939,1.56099,14.9207,1.29186,0.000867004,0.000867004,0.000867004
16,111.204,2.00248,3.20949,1.60601,0.50904,0.24073,0.21298,0.11218,1.58105,7.37932,1.30848,0.000864004,0.000864004,0.000864004
17,117.35,1.94684,3.13793,1.62145,0.39806,0.22315,0.15986,0.08614,1.58777,4.68783,1.30449,0.000861005,0.000861005,0.000861005
18,124.152,1.99765,3.16207,1.61055,0.43227,0.20505,0.17811,0.09331,1.62588,9.94227,1.32874,0.000858005,0.000858005,0.000858005
19,130.764,1.94885,2.9398,1.58227,0.39895,0.23135,0.17513,0.09923,1.57724,13.1986,1.31,0.000855005,0.000855005,0.000855005
